-0.21062,0.23272,0.38825,0.46521,0.51909,0.55558,0.56456,0.57351
0.22433,0.44613,0.53914,0.56479,0.56481,0.57024,0.57283,0.5702
0.46959,0.57048,0.56822,0.57406,0.57457,0.57031,0.56755,0.56154
0.57389,0.57819,0.58213,0.57433,0.56909,0.56437,0.56014,0.55304
0.58684,0.58315,0.5759,0.56627,0.5599,0.55402,0.54869,0.54393
0.58611,0.57317,0.56419,0.55471,0.55017,0.5446,0.53992,0.53529
0.57042,0.55841,0.55004,0.54431,0.53919,0.53477,0.53011,0.52786
0.55209,0.54448,0.53861,0.53343,0.5294,0.52652,0.52247,0.52104
0.53521,0.52996,0.52611,0.5231,0.51997,0.51747,0.51607,0.5147
0.51877,0.51678,0.5152,0.51299,0.51103,0.50952,0.50866,0.50899
