disengaged,diffs,binMeans,err,eventpos
0,0.227098950094508,0.284735535267327,0.0123097611427139,1
0,-0.377617725271678,-0.335515442673583,0.015506270471189,2
0,0.290948025790995,0.284735535267327,0.0123097611427139,3
0,-0.191533567104318,-0.241269361295485,0.0163844055190466,4
0,0.0522781466468314,0.122583079955151,0.0193486544762497,5
0,0.0554775184178278,0.122583079955151,0.0193486544762497,6
0,-0.0388048741177229,0.00174601312047759,0.0181574754819774,7
0,-0.12340645435502,-0.131216410137731,0.0171693126942453,8
0,0.140436760184003,0.122583079955151,0.0193486544762497,9
0,-0.0308048953557452,0.00174601312047759,0.0181574754819774,10
0,-0.0395926460455416,0.00174601312047759,0.0181574754819774,11
0,-0.0696692797957837,-0.063829189555462,0.0193251968576905,12
1,0.103446979798635,0.122583079955151,0.0193486544762497,13
0,0.227098950094508,0.284735535267327,0.0123097611427139,1
0,0.00418932520553517,0.00174601312047759,0.0181574754819774,2
0,-0.0908590246862183,-0.0956141965288251,0.0207564439132333,3
0,-0.0517219730265895,-0.063829189555462,0.0193251968576905,4
0,0.126904026954548,0.122583079955151,0.0193486544762497,5
0,-0.158959955967617,-0.171406006880182,0.0203535124523678,6
0,-0.129179629523105,-0.131216410137731,0.0171693126942453,7
0,0.114639136965275,0.122583079955151,0.0193486544762497,8
0,-0.00930315692561179,0.00174601312047759,0.0181574754819774,9
0,-0.0287358141610439,0.00174601312047759,0.0181574754819774,10
0,-0.102694208788919,-0.0956141965288251,0.0207564439132333,11
0,0.107296949028296,0.122583079955151,0.0193486544762497,12
0,-0.0119455851062288,0.00174601312047759,0.0181574754819774,13
0,-0.0785191349965472,-0.063829189555462,0.0193251968576905,14
0,-0.0676376012584077,-0.063829189555462,0.0193251968576905,15
0,0.0918501570606751,0.122583079955151,0.0193486544762497,16
1,-0.00333771206173494,0.00174601312047759,0.0181574754819774,17
0,-0.438265852792319,-0.407941789031999,0.0124465502265767,1
0,-0.293413160075489,-0.241269361295485,0.0163844055190466,2
0,-0.153982020489627,-0.171406006880182,0.0203535124523678,3
0,-0.107901724274736,-0.0956141965288251,0.0207564439132333,4
0,-0.0732467687165391,-0.063829189555462,0.0193251968576905,5
1,-0.0573507868929794,-0.063829189555462,0.0193251968576905,6
0,-0.438265852792319,-0.407941789031999,0.0124465502265767,1
0,-0.0930383237242411,-0.0956141965288251,0.0207564439132333,2
0,0.139616236027529,0.122583079955151,0.0193486544762497,3
