disengaged,randomx,binMeans,eventpos
0,0.589622633493723,0.691977016189794,1
0,0.816721583588231,0.88782098643431,2
0,0.439103858316553,0.508911976330318,3
0,0.730051884107548,0.691977016189794,4
0,0.53851831700323,0.508911976330318,5
0,0.590796463650062,0.691977016189794,6
0,0.646273982067889,0.691977016189794,7
0,0.607469107950167,0.691977016189794,8
0,0.484062653595146,0.508911976330318,9
0,0.624499413779149,0.691977016189794,10
0,0.593694518423404,0.691977016189794,11
0,0.554101872377862,0.508911976330318,12
0,0.484432592582079,0.508911976330318,13
1,0.587879572380713,0.691977016189794,14
0,0.589622633493723,0.691977016189794,1
0,0.816721583588231,0.88782098643431,2
0,0.820910908793766,0.88782098643431,3
0,0.730051884107548,0.691977016189794,4
0,0.678329911080959,0.691977016189794,5
0,0.805233938035507,0.88782098643431,6
0,0.646273982067889,0.691977016189794,7
0,0.517094352544785,0.508911976330318,8
0,0.63173348951006,0.691977016189794,9
0,0.622430332584448,0.691977016189794,10
0,0.593694518423404,0.691977016189794,11
0,0.491000309634485,0.508911976330318,12
0,0.59829725866278,0.691977016189794,13
0,0.586351673556552,0.691977016189794,14
0,0.507832538560004,0.508911976330318,15
0,0.440194937301597,0.508911976330318,16
0,0.532045094362272,0.508911976330318,17
1,0.528707382300537,0.508911976330318,18
0,0.970408034833113,0.88782098643431,1
0,0.532142182040794,0.508911976330318,2
0,0.238729021965305,0.338916440140929,3
0,0.084747001475678,-0.084847752579973,4
0,-0.0231547227990581,-0.084847752579973,5
0,-0.0964014915155972,-0.084847752579973,6
1,-0.153752278408577,-0.084847752579973,7
0,0.970408034833113,0.88782098643431,1
0,0.532142182040794,0.508911976330318,2
0,0.439103858316553,0.508911976330318,3
0,0.578720094344082,0.691977016189794,4
0,0.394824001070463,0.338916440140929,5
0,0.245017041933852,0.338916440140929,6
0,0.148128458544969,-0.084847752579973,7
1,0.0712544309633033,-0.084847752579973,8
0,0.970408034833113,0.88782098643431,1
0,0.816721583588231,0.88782098643431,2
0,0.439103858316553,0.508911976330318,3
0,0.249978295801072,0.338916440140929,4
0,0.11665687127867,-0.084847752579973,5
0,0.0178011381477936,-0.084847752579973,6
0,-0.0527748251446878,-0.084847752579973,7
1,-0.108553878087048,-0.084847752579973,8
0,0.589622633493723,0.691977016189794,1
0,0.247562780493357,0.338916440140929,2
0,0.0383541856140578,-0.084847752579973,3
0,-0.0804842928497156,-0.084847752579973,4
1,-0.162966316876786,-0.084847752579973,5
0,0.970408034833113,0.88782098643431,1
0,0.816721583588231,0.88782098643431,2
0,0.439103858316553,0.508911976330318,3
0,0.249978295801072,0.338916440140929,4
0,0.11665687127867,-0.084847752579973,5
0,0.0178011381477936,-0.084847752579973,6
0,-0.0527748251446878,-0.084847752579973,7
0,-0.108553878087048,-0.084847752579973,8
1,-0.147825975949189,-0.084847752579973,9
0,0.970408034833113,0.88782098643431,1
0,0.532142182040794,0.508911976330318,2
0,0.238729021965305,0.338916440140929,3
0,0.084747001475678,-0.084847752579973,4
1,-0.0231547227990581,-0.084847752579973,5
0,0.589622633493723,0.691977016189794,1
0,0.247562780493357,0.338916440140929,2
0,0.0383541856140578,-0.084847752579973,3
1,-0.0804842928497156,-0.084847752579973,4
0,0.970408034833113,0.88782098643431,1
0,0.532142182040794,0.508911976330318,2
0,0.238729021965305,0.338916440140929,3
0,0.578720094344082,0.691977016189794,4
0,0.394824001070463,0.338916440140929,5
0,0.245017041933852,0.338916440140929,6
0,0.441514820519345,0.508911976330318,7
0,0.333835035302937,0.338916440140929,8
0,0.237144349086938,-0.084847752579973,9
0,0.174108183991342,-0.084847752579973,10
0,0.312310427998382,0.338916440140929,11
0,0.238544438035385,-0.084847752579973,12
0,0.302204983850532,0.338916440140929,13
0,0.298951639836938,0.338916440140929,14
0,0.241993986386667,0.338916440140929,15
0,0.330468308706256,0.338916440140929,16
0,0.288835649013925,0.338916440140929,17
0,0.337840924036995,0.338916440140929,18
0,0.364702742843163,0.338916440140929,19
0,0.346787801178822,0.338916440140929,20
0,0.325187449102973,0.338916440140929,21
0,0.288961656412973,0.338916440140929,22
0,0.354201892657138,0.338916440140929,23
1,0.353415087276917,0.338916440140929,24
0,0.970408034833113,0.88782098643431,1
0,0.816721583588231,0.88782098643431,2
0,0.439103858316553,0.508911976330318,3
