curve1,curve2,curve3,t
0.145200512150834,0.525985913490223,0.525985913490223,1
-0.0845754288007482,0.200003972746689,0.484583374294126,2
-0.195507221681821,0.205242451020674,0.205242451020674,3
-0.273328981952892,0.179131211575802,0.0571336066978953,4
-0.326143174523633,0.299749829577073,-0.0465199863681765,5
-0.343892253443029,0.167357385242026,-0.115486994116248,6
-0.372582500789898,0.0794621381878784,-0.17062759426212,7
-0.394781541084919,0.166900570778046,-0.214032030274155,8
-0.396903548020903,0.0918766601310285,-0.239613896718995,9
-0.426562384734981,0.166002685633467,-0.27755272042848,10
-0.438224138659421,0.123945132027471,-0.301360597874933,11
-0.434830015739344,0.176272677110645,-0.312036987794171,12
-0.450442764015355,0.170109989343294,-0.334361791030978,13
-0.464312642156846,0.178937644854492,-0.354277477047967,14
-0.464008267770352,0.219448135294779,-0.36222822062799,15
-0.463664546038115,0.219313548160406,-0.36900412405835,16
-0.479961704916606,0.181227098034204,-0.388321267796778,17
-0.494163519193904,0.189482240464303,-0.405551359597516,18
-0.487469266291838,0.219861095494888,-0.405070218059475,19
-0.472929377127635,0.213887678389478,-0.397323749683516,20
-0.498302474489395,0.188133548183849,-0.422738791587867,21
-0.505414707371371,0.156753141972806,-0.432522493468359,22
-0.507336116601056,0.186974277322201,-0.43757985746396,23
-0.51356409235987,0.19167897558056,-0.446098523968424,24
-0.510642954419349,0.192780007653338,-0.446423224074109,25
-0.512072677750179,0.18725686854145,-0.450308362123174,26
-0.517403883461645,0.213539051115375,-0.457449848477455,27
-0.518462279413493,0.193834292015945,-0.460657963206166,28
-0.527127468295363,0.191585460402739,-0.470498988580006,29
