disengaged,diffs,binMeans,eventpos
1,0.113484208248728,0.122555615542665,5
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.120392992711071,0.122555615542665,6
0,0.0618355767164506,0.0769679398490755,7
1,0.0459725244303754,0.0432961648248384,8
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
1,0.0782338928184064,0.0769679398490755,4
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
1,0.0528141925707409,0.0432961648248384,4
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
1,0.0528141925707409,0.0432961648248384,4
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.0261112394448718,0.0148497102983566,3
0,0.120618618001271,0.122555615542665,4
0,0.132392444335047,0.122555615542665,5
1,0.0878952470541475,0.0769679398490755,6
0,0.229775940951582,0.237045392533156,1
0,0.237388686651509,0.237045392533156,2
0,0.138913340600352,0.122555615542665,3
0,0.0970023867625522,0.122555615542665,4
1,0.0622662794200532,0.0769679398490755,5
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
1,0.0433580433337336,0.0432961648248384,5
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
0,0.0433580433337336,0.0432961648248384,5
0,0.0419154237463708,0.0432961648248384,6
0,0.0328017381535275,0.0432961648248384,7
1,0.0138519366904122,0.0148497102983566,8
0,0.115864326352617,0.122555615542665,1
0,0.0910121502457354,0.0769679398490755,2
0,0.0347736266042402,0.0432961648248384,3
0,0.063381170268268,0.0769679398490755,4
0,0.121418925605418,0.122555615542665,5
0,0.101120423453649,0.122555615542665,6
0,0.0768357347316606,0.0769679398490755,7
0,0.0867538404014455,0.0769679398490755,8
1,0.0699860320047348,0.0769679398490755,9
0,0.229775940951582,0.237045392533156,1
