"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"1724","","","survey-likert","49","81754","0.0-2.0-1.23","","{""Q0"":4}","[0]"
"470","<div style=""font-size:45px;"">B  B  B  B                                                </div>","32","html-keyboard-response","50","82226","0.0-2.0-0.24","test","",""
"2103.9999999999854","","","survey-likert","51","84833","0.0-2.0-1.24","","{""Q0"":4}","[0]"
"314","<div style=""font-size:45px;"">A  B  B  A  A  B  B  C                                    </div>","32","html-keyboard-response","52","85149","0.0-2.0-0.25","test","",""
"1710.0000000000146","","","survey-likert","53","87362","0.0-2.0-1.25","","{""Q0"":5}","[0]"
"373.00000000001455","<div style=""font-size:45px;"">B  C  C  C                                                </div>","32","html-keyboard-response","54","87737","0.0-2.0-0.26","test","",""
"2291","","","survey-likert","55","90530","0.0-2.0-1.26","","{""Q0"":4}","[0]"
"563","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C  C  C  C  C  C  C            </div>","32","html-keyboard-response","56","91096","0.0-2.0-0.27","test","",""
"1461","","","survey-likert","57","93059","0.0-2.0-1.27","","{""Q0"":0}","[0]"
"1724","<div style=""font-size:45px;"">B  B  B  B  B  A  B  C  A  A  B  B  C  B  C  C            </div>","32","html-keyboard-response","58","94785","0.0-2.0-0.28","test","",""
"13935","","","survey-likert","59","109222","0.0-2.0-1.28","","{""Q0"":7}","[0]"
"827","<div style=""font-size:45px;"">B  A  A  B  A  C  C  C  C  C  C  C  C  C                  </div>","32","html-keyboard-response","60","110052","0.0-2.0-0.29","test","",""
"2173","","","survey-likert","61","112727","0.0-2.0-1.29","","{""Q0"":2}","[0]"
"2751.9999999999854","<div style=""font-size:45px;"">B  B  B  B  A  A  A  A  B  C  A  B  B  C  B  B            </div>","32","html-keyboard-response","62","115481","0.0-2.0-0.30","test","",""
"1425.0000000000146","","","survey-likert","63","117409","0.0-2.0-1.30","","{""Q0"":3}","[0]"
"398","<div style=""font-size:45px;"">A  A  B  A                                                </div>","32","html-keyboard-response","64","117808","0.0-2.0-0.31","test","",""
"1251","","","survey-likert","65","119562","0.0-2.0-1.31","","{""Q0"":5}","[0]"
"3305.0000000000146","<div style=""font-size:45px;"">A  C  C  C  C  B  B  B  B  B  B  B  B  C  C  C  C  C  B  B</div>","32","html-keyboard-response","66","122869","0.0-2.0-0.32","test","",""
"2011","","","survey-likert","67","125382","0.0-2.0-1.32","","{""Q0"":3}","[0]"
"2587.9999999999854","<div style=""font-size:45px;"">B  B  A  B  B  B  B  C  C  C  A  A  A  C  C  B  A  B  B  B</div>","32","html-keyboard-response","68","127973","0.0-2.0-0.33","test","",""
"3071.9999999999854","","","survey-likert","69","131547","0.0-2.0-1.33","","{""Q0"":1}","[0]"
"420.0000000000291","<div style=""font-size:45px;"">C  C  C  C  C  C                                          </div>","32","html-keyboard-response","70","131969","0.0-2.0-0.34","test","",""
"1254.000000000029","","","survey-likert","71","133725","0.0-2.0-1.34","","{""Q0"":3}","[0]"
"463","<div style=""font-size:45px;"">C  A  C  A  C  A  C  A  C  A  C  A  C  A  B  B  B  B      </div>","32","html-keyboard-response","72","134190","0.0-2.0-0.35","test","",""
"1832","","","survey-likert","73","136525","0.0-2.0-1.35","","{""Q0"":3}","[0]"
"1115","<div style=""font-size:45px;"">A  C  B  B  C  B  A  A  A  A  A  B  C  C  C  A  B  A  A  B</div>","32","html-keyboard-response","74","137642","0.0-2.0-0.36","test","",""
"1304","","","survey-likert","75","139448","0.0-2.0-1.36","","{""Q0"":7}","[0]"
"702","<div style=""font-size:45px;"">A  C  B  A  C  B  A  C  B  A  C  B  A  C  B  A            </div>","32","html-keyboard-response","76","140152","0.0-2.0-0.37","test","",""
