diff1,diff2,diff3
-0.102187925983183,0.0204708305108037,0.129463380116974
-0.109906685837501,-0.0761144662331985,-0.0761144662331985
-0.10740701117748,-0.0938168053933699,0.166803159834893
-0.0955715536180463,-0.106494428831633,-0.0376360185491444
-0.0782016230124574,-0.110151636042889,0.0619409413338502
-0.0597156675316902,-0.103502436033192,0.00479507034722881
-0.0432370826596478,-0.0888408611791677,0.0317759699115663
-0.030114379249494,-0.0705233002233354,0.00236772795836104
-0.020412038578616,-0.0525889821770475,0.00664266948388692
-0.0135819537020114,-0.0374150311683626,0.0160906130572371
-0.00892635430975851,-0.0257381994922857,-0.0030974747421415
-0.00581906506558195,-0.0172981971759485,-0.00616950415968875
-0.00377334083969036,-0.0114446714457908,0.0125628372584593
-0.00243838330388625,-0.00749344516414484,0.000593821592969612
-0.00157220806774749,-0.00487295189553669,0.00052177167369194
-0.00101226388728831,-0.00315479094476294,0.000275144029023622
-0.00065114152943126,-0.00203655990515525,-0.00193126059765381
-0.000418599177590525,0.00951279049482568,0.00381580196712661
-0.000269001705469687,0.00181046486611831,0.000195479417795519
-0.000172824302293822,-0.00531504979290505,0.000171632138187827
-0.000111016087841563,-0.00344357709396556,-0.000685855526515011
-7.13054806652029e-05,-0.0022240575034322,-0.00106613538971845
-4.57964242448762e-05,-0.00143350531122651,-0.00165565032341541
-2.94118288173689e-05,-0.000922748445030872,0.00335541835270636
-1.88886448838671e-05,-0.000593472783114142,-0.000714839699416991
-1.21303146946554e-05,-0.000381489438485449,0.00100979108316268
-7.79001894010808e-06,-0.000245139140957212,0.000472997292264576
-5.00267009245142e-06,-0.000157487249162839,-0.000288145170520226
