sequence1,sequence2,sequence3
A,C,C
A,B,C
A,B,A
A,C,C
A,B,B
A,B,B
A,C,C
A,B,C
A,B,A
A,C,A
A,B,C
A,B,B
A,C,A
A,B,C
A,B,C
A,C,B
A,B,B
A,B,B
A,C,B
A,A,A
A,B,C
A,A,C
A,B,A
A,A,C
A,B,C
A,A,B
A,B,B
A,A,A
A,B,C
A,A,A
