curve1,curve2,curve3,t
0.589622633493723,0.970408034833113,0.589622633493723,1
0.247562780493357,0.816721583588231,0.816721583588231,2
0.0383541856140578,0.439103858316553,0.439103858316553,3
-0.0804842928497156,0.249978295801072,0.730051884107548,4
-0.162966316876786,0.11665687127867,0.53851831700323,5
-0.210604121178988,0.0178011381477936,0.590796463650062,6
-0.254729731672465,-0.0527748251446878,0.545296528804001,7
-0.289303388897812,-0.108553878087048,0.607469107950167,8
-0.305115627251097,-0.147825975949189,0.546472943045621,9
-0.339606331694671,-0.190596667388171,0.557037965491541,10
-0.358356075288304,-0.221492534503815,0.649900444242489,11
-0.363172938323092,-0.240379910377919,0.554101872377862,12
-0.382702572191033,-0.266621599206656,0.484432592582079,13
-0.400100540894569,-0.290065375785691,0.587879572380713,14
-0.404613521671522,-0.302833474529161,0.56013583409927,15
-0.408424527125252,-0.313764105145487,0.536169771335857,16
-0.42648402782824,-0.334843590708412,0.529463106683847,17
-0.442453023195265,-0.353840863598876,0.481904637149936,18
-0.439384492449073,-0.232671785385571,0.539864839357935,19
-0.428808970704507,-0.201335957465869,0.507508592201566,20
-0.454206545216036,-0.226859729613933,0.519373408231868,21
-0.462877740068779,-0.243568515363139,0.476282389419471,22
-0.466629166500543,-0.256755020956304,0.432126597057153,23
-0.474193897341014,-0.271211703413687,0.395048077265701,24
-0.473166900069957,-0.279950388748737,0.451141862832016,25
-0.476029504774412,-0.290200546517551,0.412938696458694,26
-0.482417117533884,-0.302034711425975,0.440449913336554,27
-0.484730002990508,-0.310815409191278,0.460118625141345,28
-0.494081362805239,-0.323704482784026,0.431547463601743,29
