disengaged,diffs,binMeans,eventpos
0,0.227098950094508,0.234414541813219,1
0,0.377617725271678,0.365839506433904,2
0,0.290948025790995,0.234414541813219,3
0,0.191533567104318,0.234414541813219,4
0,0.0522781466468314,0.0263764263050843,5
0,0.0554775184178278,0.080603901639087,6
0,0.0388048741177229,0.0263764263050843,7
0,0.12340645435502,0.141954449577388,8
0,0.140436760184003,0.141954449577388,9
0,0.0308048953557452,0.0263764263050843,10
0,0.0395926460455416,0.0263764263050843,11
0,0.0696692797957837,0.080603901639087,12
1,0.103446979798635,0.080603901639087,13
0,0.227098950094508,0.234414541813219,1
0,0.00418932520553517,0.0263764263050843,2
0,0.0908590246862183,0.080603901639087,3
0,0.0517219730265895,0.0263764263050843,4
0,0.126904026954548,0.141954449577388,5
0,0.158959955967617,0.141954449577388,6
0,0.129179629523105,0.141954449577388,7
0,0.114639136965275,0.141954449577388,8
0,0.00930315692561179,0.0263764263050843,9
0,0.0287358141610439,0.0263764263050843,10
0,0.102694208788919,0.080603901639087,11
0,0.107296949028296,0.080603901639087,12
0,0.0119455851062288,0.0263764263050843,13
0,0.0785191349965472,0.080603901639087,14
0,0.0676376012584077,0.080603901639087,15
0,0.0918501570606751,0.080603901639087,16
1,0.00333771206173494,0.0263764263050843,17
0,0.438265852792319,0.365839506433904,1
0,0.293413160075489,0.365839506433904,2
0,0.153982020489627,0.141954449577388,3
0,0.107901724274736,0.080603901639087,4
0,0.0732467687165391,0.080603901639087,5
1,0.0573507868929794,0.080603901639087,6
0,0.438265852792319,0.365839506433904,1
0,0.0930383237242411,0.080603901639087,2
0,0.139616236027529,0.141954449577388,3
0,0.183896093273619,0.234414541813219,4
0,0.149806959136611,0.141954449577388,5
0,0.0968885833888831,0.080603901639087,6
1,0.0768740275816653,0.080603901639087,7
0,0.153686451244882,0.141954449577388,1
0,0.377617725271678,0.365839506433904,2
0,0.189125562515481,0.234414541813219,3
0,0.133321424522401,0.141954449577388,4
0,0.0988557331308765,0.080603901639087,5
0,0.0705759632924814,0.080603901639087,6
1,0.0557790529423604,0.080603901639087,7
0,0.438265852792319,0.365839506433904,1
0,0.0930383237242411,0.080603901639087,2
0,0.139616236027529,0.141954449577388,3
0,0.183896093273619,0.234414541813219,4
0,0.149806959136611,0.141954449577388,5
0,0.0968885833888831,0.080603901639087,6
0,0.185706576757969,0.234414541813219,7
0,0.0180458605650454,0.0263764263050843,8
0,0.00732867355994998,0.0263764263050843,9
0,0.0108074202994597,0.0263764263050843,10
0,0.104619375186313,0.080603901639087,11
0,0.00413075792717482,0.0263764263050843,12
0,0.0474726238609965,0.0263764263050843,13
0,0.07969766857605,0.080603901639087,14
0,0.0632440818649524,0.080603901639087,15
0,0.0591018406932138,0.080603901639087,16
0,0.0294158919677877,0.0263764263050843,17
0,0.0609297079824095,0.080603901639087,18
0,0.0536145441678826,0.080603901639087,19
0,0.0124228447392759,0.0263764263050843,20
0,0.0172053620101378,0.0263764263050843,21
0,0.0423089514003051,0.0263764263050843,22
0,0.0651175691745933,0.080603901639087,23
0,0.0116235664227795,0.0263764263050843,24
0,0.00706856695974134,0.0263764263050843,25
0,0.0331618431704375,0.0263764263050843,26
1,0.053100679922583,0.080603901639087,27
0,0.342059853000366,0.365839506433904,1
0,0.209208594879299,0.234414541813219,2
0,0.118838478463773,0.141954449577388,3
1,0.0824820240270706,0.080603901639087,4
0,0.153686451244882,0.141954449577388,1
0,0.377617725271678,0.365839506433904,2
0,0.189125562515481,0.234414541813219,3
0,0.133321424522401,0.141954449577388,4
0,0.0988557331308765,0.080603901639087,5
0,0.0705759632924814,0.080603901639087,6
0,0.0557790529423604,0.080603901639087,7
1,0.0392720978621409,0.0263764263050843,8
0,0.438265852792319,0.365839506433904,1
0,0.293413160075489,0.365839506433904,2
0,0.153982020489627,0.141954449577388,3
1,0.107901724274736,0.080603901639087,4
0,0.342059853000366,0.365839506433904,1
0,0.209208594879299,0.234414541813219,2
